epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,5550.79,1.04122,0.5625,0.90767,0.74139,0.76144,0.7899,0.47136,1.10607,0.72415,0.90408,0.003664,0.003664,0.003664
66,5621.63,1.03709,0.56145,0.90955,0.74132,0.76039,0.79054,0.4726,1.10711,0.72212,0.90378,0.003565,0.003565,0.003565
67,5692.33,1.03261,0.55783,0.90764,0.72943,0.77027,0.78993,0.47401,1.10112,0.72547,0.90326,0.003466,0.003466,0.003466
68,5762.91,1.03119,0.55777,0.90512,0.75271,0.74315,0.7906,0.47344,1.09925,0.72425,0.90199,0.003367,0.003367,0.003367
69,5834.18,1.02387,0.5545,0.90484,0.74684,0.76009,0.79443,0.47877,1.09809,0.72302,0.90094,0.003268,0.003268,0.003268
70,5904.48,1.03272,0.55385,0.90566,0.74988,0.76895,0.79296,0.47728,1.09656,0.72953,0.90167,0.003169,0.003169,0.003169
71,5975.16,1.0196,0.54756,0.90317,0.74026,0.77467,0.79195,0.4751,1.10349,0.72925,0.90241,0.00307,0.00307,0.00307
72,6045.4,1.02564,0.54975,0.9034,0.73639,0.77297,0.79009,0.47564,1.10036,0.73498,0.90155,0.002971,0.002971,0.002971
73,6116.05,1.02024,0.54607,0.89998,0.74868,0.76258,0.79304,0.47714,1.10004,0.73037,0.90136,0.002872,0.002872,0.002872
74,6186.41,1.01649,0.54395,0.90094,0.76501,0.75687,0.79591,0.47655,1.09714,0.72745,0.90246,0.002773,0.002773,0.002773
75,6256.83,1.01282,0.53738,0.8987,0.74582,0.77141,0.79483,0.47539,1.10144,0.72567,0.90333,0.002674,0.002674,0.002674
76,6327.21,1.01249,0.53876,0.90044,0.73415,0.78247,0.7986,0.47764,1.10387,0.72859,0.90438,0.002575,0.002575,0.002575
77,6397.94,1.00837,0.53614,0.89785,0.7407,0.78255,0.79643,0.47745,1.10115,0.73056,0.90345,0.002476,0.002476,0.002476
78,6468.39,1.00508,0.53557,0.89642,0.73775,0.77541,0.7962,0.47588,1.10056,0.73151,0.9029,0.002377,0.002377,0.002377
79,6537.11,1.00286,0.53422,0.89787,0.73737,0.77512,0.7957,0.47439,1.09982,0.72645,0.90244,0.002278,0.002278,0.002278
80,6603.51,1.00232,0.53011,0.89579,0.74417,0.77161,0.79375,0.47563,1.09786,0.72748,0.90258,0.002179,0.002179,0.002179
81,6669.81,1.00049,0.53235,0.89442,0.74507,0.789,0.79793,0.47883,1.09561,0.72504,0.90256,0.00208,0.00208,0.00208
82,6736.02,0.99539,0.52174,0.89301,0.73549,0.78273,0.79556,0.47944,1.09844,0.72935,0.9021,0.001981,0.001981,0.001981
83,6802.56,0.99178,0.52305,0.89101,0.73773,0.78095,0.79695,0.47831,1.10019,0.73186,0.9027,0.001882,0.001882,0.001882
84,6868.57,0.99201,0.52311,0.89358,0.74514,0.77139,0.79874,0.47823,1.10157,0.73057,0.90231,0.001783,0.001783,0.001783
85,6935.1,0.98688,0.52357,0.89323,0.76592,0.76412,0.80149,0.48081,1.09979,0.72658,0.90245,0.001684,0.001684,0.001684
86,7002.5,0.98328,0.51775,0.89046,0.74678,0.77507,0.80024,0.47979,1.09882,0.72457,0.9025,0.001585,0.001585,0.001585
87,7070.46,0.98364,0.5146,0.88826,0.74906,0.78294,0.80126,0.48155,1.0996,0.72673,0.90274,0.001486,0.001486,0.001486
88,7138.01,0.97792,0.50988,0.8901,0.75222,0.78304,0.80077,0.48076,1.09984,0.73005,0.90223,0.001387,0.001387,0.001387
89,7205.85,0.97649,0.50896,0.89106,0.74519,0.78433,0.79933,0.48096,1.09957,0.73367,0.90227,0.001288,0.001288,0.001288
90,7273.51,0.97297,0.50799,0.88803,0.74707,0.78318,0.79937,0.48104,1.10049,0.73655,0.9021,0.001189,0.001189,0.001189
91,7357.72,0.97611,0.50832,0.88781,0.7474,0.77876,0.80018,0.48077,1.1002,0.73318,0.90224,0.00109,0.00109,0.00109
92,7424.59,0.97032,0.5085,0.88492,0.74857,0.7828,0.80159,0.48095,1.10022,0.73325,0.90225,0.000991,0.000991,0.000991
93,7491.77,0.96717,0.50343,0.88423,0.75022,0.78461,0.80214,0.48164,1.09921,0.73356,0.90274,0.000892,0.000892,0.000892
94,7559.02,0.96227,0.50555,0.88413,0.75286,0.78325,0.80234,0.48095,1.09879,0.73355,0.90298,0.000793,0.000793,0.000793
95,7626.56,0.96303,0.49883,0.88624,0.75166,0.78038,0.8017,0.47983,1.09798,0.73418,0.90287,0.000694,0.000694,0.000694
96,7694.22,0.95587,0.494,0.88313,0.7515,0.78246,0.80215,0.48054,1.0973,0.73259,0.90293,0.000595,0.000595,0.000595
97,7762.12,0.9565,0.49465,0.8827,0.75132,0.78257,0.80329,0.48105,1.09737,0.73415,0.90285,0.000496,0.000496,0.000496
98,7829.84,0.956,0.49479,0.88295,0.74845,0.77739,0.80141,0.47969,1.09814,0.73389,0.90298,0.000397,0.000397,0.000397
99,7897.62,0.95243,0.49421,0.8802,0.75108,0.77302,0.8022,0.48035,1.09843,0.73286,0.90314,0.000298,0.000298,0.000298
100,7965.4,0.95099,0.49159,0.8811,0.75423,0.77297,0.80182,0.48056,1.09866,0.73327,0.90322,0.000199,0.000199,0.000199
